Product Name,Benefits of this Product
AN 500 500mg Tablet,"Treatment of Bacterial infectionsAN 500 500mg Tablet is an antibiotic medicine that can be used to treat many different infections caused by bacteria. These include infections of the blood, brain, lungs, bones, joints, urinary tract, stomach, and intestines. It can also be used to treat sexually transmitted diseases. It stops the growth of the bacteria causing the infection and clears the infection. Take it for as long as prescribed by the doctor and avoid skipping doses. This will make sure that all bacteria are killed and they do not become resistant."
Vidoget 50 Tablet,"Treatment of Type 2 diabetes mellitusVidoget 50 Tablet belongs to a group of medicines called DPP-4 inhibitors. It works by helping to increase the amount of insulin your body produces after a meal and to stop your body from releasing too much glucose (sugar) into your blood. This way it lowers the blood glucose levels in your body. This medicine is usually taken once a day and has relatively few common side effects.Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Proper control of diabetes can also reduce the risk of heart disease and stroke. Taking this medicine regularly along with a proper program of diet and exercise will help you live a normal, healthy life. You should keep using it for as long as it is prescribed because it is protecting your future health."
Zolid C 500mg/600mg Tablet,"Treatment of Bacterial infectionsZolid C 500mg/600mg Tablet is used to treat bacterial infections such as urinary tract infections, skin infections, chest infections (bronchitis and pneumonia), ear, throat, infections, and sinusitis. It stops the growth of bacteria causing infection. This further reduces the discomforts associated with various infections and helps in early recovery. Make sure you complete the full course of treatment. This will ensure that the infection is completely cured and prevent it from returning."
Q-DIL 90MG TABLET,"Treatment of Hypertension (high blood pressure)Q-DIL 90MG TABLET works by relaxing blood vessels so that blood can flow more easily around your body. This lowers your blood pressure and reduces your risk of having a stroke, heart attack, or kidney problems in the future. It must be taken regularly as prescribed to be effective. You do not usually feel any direct benefit from taking this medicine, but it works in the long term to keep you well. Do not stop taking this medicine without your doctors advice, even if you feel well.Treatment of Angina (heart-related chest pain)Q-DIL 90MG TABLET helps treat heart-related chest pain (angina attack) as well as prevent it from happening in the future. However, it should not be used for acute attacks of angina. It works by relaxing and widening blood vessels in the heart. This makes it easier for blood to flow to the heart, so it gets more oxygen. This medicine thus helps to increase your ability to exercise and go about your daily life more easily and confidently. It should be taken regularly to be effective. Do not stop taking it without your doctors advice, even if you feel well.Treatment of ArrhythmiaQ-DIL 90MG TABLET may also be used to treat abnormal heart rhythms (arrhythmias). It may help stop an abnormal rhythm while it is happening or prevent its occurrence in the first place."
Feboxa 80 Tablet,"Treatment of GoutFeboxa 80 Tablet is used to prevent and treat gout. Gout is caused by too much uric acid in your body. When the level becomes too high, crystals may form in and around certain joints and your kidneys. This can cause sudden and severe pain, redness, warmth, and swelling. This medicine works by preventing crystals from forming and reducing the levels of uric acid in your blood. This makes it less likely that you will suffer the symptoms and make them milder if you do have them. It is usually for long-term treatment and should be taken regularly until the dose is completed."
Azinate 500mg Tablet,"Treatment of Bacterial infectionsAzinate 500mg Tablet is an antibiotic medicine that can be used to treat many different infections caused by bacteria. These include infections of the blood, brain, lungs, bones, joints, urinary tract, stomach, and intestines. It can also be used to treat sexually transmitted diseases. It stops the growth of the bacteria causing the infection and clears the infection. Take it for as long as prescribed by the doctor and avoid skipping doses. This will make sure that all bacteria are killed and they do not become resistant."
Glypride 4 Tablet,"Treatment of Type 2 diabetes mellitusGlypride 4 Tablet increases the amount of insulin your body produces (in the pancreas). The insulin then works to lower your blood glucose level. It is usually taken once a day. You should keep taking it for as long as it is prescribed.Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking Glypride 4 Tablet regularly along with proper diet and exercise will help you live a normal, healthy life."
Zorotene Forte Gel,"PsoriasisPsoriasis is a condition where the skin cells in the body grow too quickly and form scales and dry patches. They can grow anywhere, but most appear on the scalp, elbows, knees, and lower back. Zorotene Forte Gel reduces the scaly, itchy patches along with other symptoms of inflammation such as redness, swelling or irritation which may develop on the different parts of the body. It also stops the overgrowth and thickening of the skin. Use it for as long as it is prescribed to get the most benefit. It may take several months to become fully effective. You should avoid drinking alcohol while having this treatment and drink plenty of water to stay hydrated.AcneZorotene Forte Gel helps treat acne (commonly called pimples) by reducing the production of excessive oil in the skin that causes acne. It usually takes a few weeks to have a noticeable effect so keep using it even if it appears not to be working. Sometimes acne may get worse before it gets better, however, with proper use, your skin will get clearer. The earlier you start using it, the less likely you are to get scars. This medicine will help improve your mood and uplift your confidence as your skin becomes acne free."
Darba 60mcg Injection,"Treatment of Anemia due to chronic kidney diseaseAnemia is a condition where your body does not have enough red blood cells to carry oxygen around your body. Chronic kidney disease (CKD) refers to the loss of normal kidney function over a long span of time. CKD progresses gradually over a few years but may become permanent if left untreated. CKD can lead to anemia. Darba 60mcg Injection can boost your levels of red blood cells and reduce the symptoms of anemia such as tiredness and weakness. Taking this injection improves the quality of life.Treatment of Anemia due to cancer chemotherapyLow red blood cell count is termed as anemia. Cancer treatment with chemotherapy often causes many side effects, one of the major ones being anemia. Darba 60mcg Injection stimulates the production of red blood cells in bone marrow and regulates the haemoglobin in the blood. This treats anemia in cancer patients receiving chemotherapy."
Walapan 40mg Tablet,"Treatment of HeartburnHeartburn and acid reflux happens when a muscle above your stomach relaxes too much and allows stomach contents and acid to come back up into your esophagus and mouth. Walapan 40mg Tablet belongs to a group of medicines called proton pump inhibitors. It reduces the amount of acid your stomach makes and relieves the pain associated with heartburn and acid reflux. You can increase the efficiency of the medicine by making certain lifestyle changes. These include avoiding foods that trigger the symptoms, eating smaller more frequent meals, losing weight if you are overweight.Treatment of Gastroesophageal reflux disease (Acid reflux)GERD is a chronic (long-term) condition that is like having heartburn consistently rather than just occasionally. It happens because a muscle above your stomach relaxes too much and allows stomach contents to come back up into your esophagus and mouth. Walapan 40mg Tablet belongs to a group of medicines called proton pump inhibitors. It reduces the amount of acid your stomach makes and relieves the pain associated with heartburn and acid reflux. You should take it exactly as it is prescribed for it to be effective.Some simple lifestyle changes can help reduce the symptoms of GERD. Think about what foods trigger heartburn and try to avoid them; eat smaller more frequent meals; try to lose weight if you are overweight and try to find ways to relax. Do not eat within 3-4 hours of going to bed.Treatment of Peptic ulcer diseaseWalapan 40mg Tablet belongs to a group of medicines called proton pump inhibitors. It reduces the amount of acid your stomach makes which prevents further damage to the ulcer as it heals naturally. You may be given other medicines along with this medicine depending on what caused the ulcer. You need to keep taking the medicine as it is prescribed for it to be effective, even if the symptoms seem to disappear.Treatment of Zollinger-Ellison syndromeZollinger-Ellison syndrome is a rare disorder where excessive stomach acid production leads to multiple peptic ulcers. Symptoms include abdominal pain, diarrhea, and heartburn. Walapan 40mg Tablet By reducing the production of stomach acid, it helps alleviate symptoms such as abdominal pain, heartburn, and diarrhea. Esomeprazole also aids in the healing of peptic ulcers, which are common in this condition. By controlling the excessive acid secretion associated with Zollinger-Ellison syndrome, esomeprazole helps improve the overall digestive health and prevents complications such as gastrointestinal bleeding."
Yeszith 250mg Tablet,"Treatment of Bacterial infectionsYeszith 250mg Tablet is an antibiotic medicine that can be used to treat many different infections caused by bacteria. These include infections of the blood, brain, lungs, bones, joints, urinary tract, stomach, and intestines. It can also be used to treat sexually transmitted diseases. It stops the growth of the bacteria causing the infection and clears the infection. Take it for as long as prescribed by the doctor and avoid skipping doses. This will make sure that all bacteria are killed and they do not become resistant."
Alergo 120mg Tablet,"Treatment of Sneezing and runny nose due to allergiesAlergo 120mg Tablet provides relief from symptoms such as sneezing, itching, watery eyes, and runny nose. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit.Treatment of Allergic conditionsAlergo 120mg Tablet is effective in treating allergic skin conditions with inflammation and itching such as hives. It reduces the redness, rash, pain, or itchiness caused by your skins reaction to an irritant or allergen that may be causing the symptoms. It thus improves your self-esteem and confidence as your appearance changes. You may only need to take Alergo 120mg Tablet on a day you have symptoms or on a regular basis when allergens are most prevalent. Consult with your doctor to get maximum benefits."
Estrabet 0.06% Gel,"Hormone replacement therapyHormone placement therapy (HRT) is a treatment to relieve symptoms of menopause such as hot flushes, vaginal dryness, and reduced sex drive. Since menopause can last for several years, this treatment can make a big improvement to your daily life and mood. Estrogen is one of two important hormones (the other is progesterone) used in this treatment. Vaginal tablets and creams are an easy way to deliver hormones but may not treat all the symptoms. You should use this medicine as it is prescribed, and for as long as it is prescribed by your doctor."
Nisol Eye Drop,"Treatment of Dry eyesNormally your eyes produce enough natural tears to help them move easily and comfortably and to remove dust and other particles. If they do not produce enough tears, they can become dry, red, and painful. Dry eyes can be caused by wind, sun, heating, computer use, and some medications. Nisol Eye Drop keeps your eyes lubricated and can relieve any dryness and pain. This medicine is safe to use with few side effects. If you wear soft contact lenses, you should remove them before applying the drops."
Qutomal 300mg Injection,"MalariaQutomal 300mg Injection is an antimalarial medicine and is used alone or with other medications to treat malaria (a serious or life-threatening illness that is spread by a parasite that enters the human body by the bite of infected mosquitoes). However, this medicine should not be used to prevent malaria or to treat severe cases of malaria. This medicine is given by a doctor or nurse and should not be self-administered. Refrain from taking any other medicines or antacids along with this medicine (unless advised by the doctor) as they may affect the absorption of this medicine. Do not use this medicine for treating any other condition without consulting your doctor."
Cosvate G Cream,"Bacterial skin infectionsCosvate G Cream is a combination of medicines used to treat skin infections caused by microorganisms such as bacteria. It kills and stops the growth of infection causing microorganisms, thereby clearing the infection and relieving the symptoms. It also blocks the release of chemicals that cause symptoms such as itching, redness and swelling. Therefore this medicine relieves the inflammation due to these infections.You should use Cosvate G Cream for as long as it is prescribed, even if your symptoms disappear, otherwise they may come back. Depending on the type of infection you are treating, this may be several weeks. Even after your infection is completely cured, you may have to apply it occasionally to prevent the symptoms from returning."
Kglim M 1mg/1000mg Tablet,"Treatment of Type 2 diabetes mellitusKglim M 1mg/1000mg Tablet is a combination medicine that increases the amount of insulin your body produces (in the pancreas). The insulin then works to lower your blood glucose level. It is usually taken once a day. You should keep taking it for as long as it is prescribed.Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life."
Koril X Syrup,"Treatment of Cough with mucusKoril X Syrup helps to loosen thick mucus, making it easier to cough out. This makes it easier for air to move in and out. It will relieve symptoms such as tightness in your chest, shortness of breath, wheezing and coughing and help you carry out your daily activities more easily. This medicine is safe and effective. It usually starts to work within a few minutes and the effects can last up to several hours. Take Koril X Syrup as prescribed by the doctor. Do not stop using it unless you are advised to by your doctor. Taking this medicine enables you to live your life more freely without worrying so much about things that set off your symptoms."
Biofen 120mg Tablet,"Treatment of Sneezing and runny nose due to allergiesBiofen 120mg Tablet provides relief from symptoms such as sneezing, itching, watery eyes, and runny nose. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit.Treatment of Allergic conditionsBiofen 120mg Tablet is effective in treating allergic skin conditions with inflammation and itching such as hives. It reduces the redness, rash, pain, or itchiness caused by your skins reaction to an irritant or allergen that may be causing the symptoms. It thus improves your self-esteem and confidence as your appearance changes. You may only need to take Biofen 120mg Tablet on a day you have symptoms or on a regular basis when allergens are most prevalent. Consult with your doctor to get maximum benefits."
Isotret 10mg Capsule,"Treatment of AcneIsotret 10mg Capsule helps treat acne by reducing the production of sebum (a natural substance) that causes acne. This kills acne-causing bacteria and prevents spots or pimples from appearing. It usually takes a few weeks to have a noticeable effect so keep taking it even if it appears not to be working. Sometimes acne may get worse before it gets better, however, with proper use, your skin will get clearer. This medicine will help improve your mood and uplift your confidence as your skin becomes acne-free."
Avodox 100mg Capsule,"Treatment of Bacterial infectionsAvodox 100mg Capsule is a versatile antibiotic medicine which can be used to treat many different infections caused by bacteria. These include infections of the blood, brain, lungs, bones, joints, urinary tract, stomach and intestines. It can also be used to treat sexually transmitted diseases. It stops the growth of the bacteria causing the infection and clears the infection. It also helps treat as well as prevent diarrhea that may occur due to the use of this medicine or due to stomach/gut(intestine) infections.Take it for as long as prescribed by the doctor and avoid skipping doses. This will make sure that all bacteria are killed and they do not become resistant."
Febrikast AP 10mg/5mg/200mg Tablet,"AsthmaFebrikast AP 10mg/5mg/200mg Tablet works by reducing and preventing swelling and inflammation in your lungs. It is used to prevent the symptoms of asthma such as tightness in your chest, wheezing, breathlessness and coughing. It also relieves allergy symptoms like runny nose, watery eyes, sneezing and watery eyes. It may take a few weeks for this medicine to show full effects. This medicine will not stop an asthma attack that has already started. In order to prevent future attacks, it is important to identify asthma triggers and avoid them and take your medications as prescribed."
ZADY 100 MG REDIMIX SUSPENSION,"Treatment of Bacterial infectionsZADY 100 MG REDIMIX SUSPENSION is an antibiotic medicine that can be used to treat many different infections caused by bacteria. These include infections of the blood, brain, lungs, bones, joints, urinary tract, stomach, and intestines. It can also be used to treat sexually transmitted diseases. It stops the growth of the bacteria causing the infection and clears the infection. Take it for as long as prescribed by the doctor and avoid skipping doses. This will make sure that all bacteria are killed and they do not become resistant."
Aparin 50mg Tablet,"Prevention of organ rejection in transplant patientsAparin 50mg Tablet is an immunosuppressive agent that lowers your immune response and reduces the chance of your body attacking the transplanted organ. Organ rejection happens when your immune system treats the new organ as an invader and attacks it. This medicine may be used in combination with other medicines to suppress the immune system and help your body accept the new organ.Treatment of Rheumatoid arthritisAparin 50mg Tablet works by blocking the action of some chemicals which cause inflammation. It can help reduce pain, stiffness, and swelling in your joints and slow down the progression of bone and joint damage. This will help you do normal daily activities more easily and thus improve your quality of life. This medicine should be taken at the same time each day to get maximum benefits. Keep taking it even if you feel well because it is preventing future harm as well as improving your symptoms."
Domylin P 1500mcg/75mg Tablet SR,"Treatment of Neuropathic painDomylin P 1500mcg/75mg Tablet SR is a combination of medicines used to treat long-lasting (chronic) pain caused by nerve damage due to diabetes, shingles or spinal cord injury. It reduces pain and its associated symptoms such as mood changes, sleep problems, and tiredness. Pregabalin, an active ingredient of this medicine, is thought to work by interfering with pain signals that travel through the damaged nerves and the brain. It also contains nutritional supplements that improve nerve conduction. Taking Domylin P 1500mcg/75mg Tablet SR regularly will improve your physical and social functioning and overall quality of life."
Delicita Forte Tablet,"Treatment of Anxiety disorderDelicita Forte Tablet stops your brain from releasing the chemicals that make you feel anxious so it can reduce the symptoms of excessive anxiety and worry. It can also reduce feelings of restlessness, tiredness, difficulty concentrating, feeling irritable and sleep problems that often come with Generalised Anxiety Disorder. Delicita Forte Tablet will therefore help you go about your daily activities more easily and be more productive. Keep taking this medicine even if you feel well. Stopping suddenly can cause serious problems."
Olomin Eye Drop,"Allergic eye diseaseOlomin Eye Drop gives rapid relief from symptoms of allergic eye disease such as redness, swelling, itching and watering of eyes. It also helps soothe the eyes and reduces burning sensation. You can use Olomin Eye Drop twice a day or as prescribed by the doctor. If you see no improvement even after a week, consult your doctor. Apart from using eye drops, it is advisable to wash your eyes with luke warm water to reduce discomfort."
Zomelis-DM Forte Tablet SR,"Treatment of Type 2 diabetes mellitusZomelis-DM Forte Tablet SR is a medicine that helps control high blood glucose (sugar) levels. It helps remove extra glucose from your body through urine. Lowering blood glucose levels is an essential part of managing diabetes. If you can control the glucose level, the risk of any serious complications of diabetes, such as kidney damage, eye damage, nerve problems, and loss of limbs, is reduced. This medicine also reduces the risk of dying from cardiovascular disease if you have type 2 diabetes and cardiovascular disease.Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life. Keep using this drug for as long as it is prescribed because it is protecting your future health."
Alzil 10 Tablet,"Alzheimer's diseaseIn people with Alzheimers disease, certain nerve cells die in the brain. This results in lower levels of a chemical called acetylcholine which helps nerve cells to communicate with each other.  This leads to symptoms of dementia such as memory loss, confusion, disorientation, problems with speech and language, and personality changes. Alzil 10 Tablet increases the amount of acetylcholine and helps brain cells to communicate. It can, therefore, improve some of the symptoms such as memory, awareness, and the ability to carry out daily functions for a time. However, it is not a cure. You should use the medicine exactly as prescribed. It can take several weeks for your symptoms to improve; so keep using the medicine even if you do not think it is working."
Talecalm H Tablet,"SchizophreniaSchizophrenia is a mental disorder in which a persons thinking ability, feelings and behavior become abnormal. Talecalm H Tablet helps restore the chemical imbalances in the brain that are responsible for such changes. It improves thoughts, behavior and enhances the quality of life."
Flublast Nasal Solution,Nasal congestion (blocked nose)Flublast Nasal Solution shrinks the blood vessels and provides rapid relief from nasal congestion that lasts for several hours. It is a safe medicine that can be used to treat congestion caused by colds or allergies such as hay fever. It should be used as prescribed and should not be taken for more than seven days in a row (preferably less). Talk to your doctor if your symptoms do not improve.
Fexy 180 Tablet,"Treatment of Sneezing and runny nose due to allergiesFexy 180 Tablet provides relief from symptoms such as sneezing, itching, watery eyes, and runny nose. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit.Treatment of Allergic conditionsFexy 180 Tablet is effective in treating allergic skin conditions with inflammation and itching such as hives. It reduces the redness, rash, pain, or itchiness caused by your skins reaction to an irritant or allergen that may be causing the symptoms. It thus improves your self-esteem and confidence as your appearance changes. You may only need to take Fexy 180 Tablet on a day you have symptoms or on a regular basis when allergens are most prevalent. Consult with your doctor to get maximum benefits."
Sinarest Syrup,"Common coldSinarest Syrup is a combination medicine that effectively relieves symptoms of common cold such as blocked nose, runny nose, watery eyes, sneezing, and congestion or stuffiness. It helps to loosen thick mucus, making it easier to cough out. This makes it easier for air to move in and out. It shrinks the blood vessels and provides rapid relief that lasts for several hours.This medicine is safe and effective. Sinarest Syrup usually starts to work within a few minutes and the effects can last up to several hours. Take it as prescribed by the doctor. Do not stop using it unless you are advised to by your doctor. Taking this medicine enables you to live your life more freely without worrying so much about things that set off your symptoms."
Wikmox CV Dry Syrup,"Treatment of Resistance Tuberculosis (TB)In multidrug-resistant (MDR) tuberculosis, the causative bacteria produce an enzyme called beta-lactamase. This enzyme breaks down the antibiotics and makes them ineffective. As a result, the bacteria become resistant to the antibiotic being used for treatment. Wikmox CV Dry Syrup comprises two active ingredients, amoxycillin and clavulanic acid. While clavulanic acid stops the enzyme from rendering amoxycillin ineffective, amoxycillin works towards killing the tuberculosis-causing bacteria. This makes the combination of amoxycillin and clavulanic acid an effective treatment for resistant tuberculosis.Treatment of Bacterial infectionsWikmox CV Dry Syrup contains two different medicines, Amoxycillin and Clavulanic Acid, that work together to kill the bacteria that cause infections. Amoxycillin works by stopping the growth of bacteria. Clavulanic Acid reduces resistance and enhances the activity of Amoxycillin against bacteria.This combination medicine can be used to treat many different bacterial infections such as ear, sinus, throat, lung, urinary tract, skin, teeth, joints, and bones. It usually makes you feel better within a few days, but you should continue taking it as prescribed even when you feel better to make sure that all bacteria are killed and do not become resistant."
Tears Naturale Forte Ophthalmic Solution,"Treatment of Dry eyesDry eyes is a condition in which your eyes do not produce enough tears to keep them moist. It can be caused by sitting in front of the computer for a long time, certain medications or environmental conditions. Tears Naturale Forte Ophthalmic Solution adds moisture to your eyes and keeps them lubricated. This gives relief from burning sensation and discomfort due to dryness of the eyes. If you wear soft contact lenses, you should remove them before applying Tears Naturale Forte Ophthalmic Solution."
Soha Liquigel,"Treatment of Dry eyesNormally your eyes produce enough natural tears to help them move easily and comfortably and to remove dust and other particles. If they do not produce enough tears, they can become dry, red, and painful. Dry eyes can be caused by wind, sun, heating, computer use, and some medications. Soha Liquigel keeps your eyes lubricated and can relieve any dryness and pain. This medicine is safe to use with few side effects. If you wear soft contact lenses, you should remove them before applying the drops."
Urivron Tablet,"Treatment of Bacterial infections of urinary tractUrivron Tablet works by stopping the growth of the bacteria in the urine that cause urinary tract infections. This medicine usually makes you feel better quite quickly. However, you should continue taking it as long as it is prescribed even when you feel better, to make sure that all bacteria are killed and do not become resistant."
Klotran 250 mg/250 mg Tablet,"Heavy menstrual bleedingKlotran 250 mg/250 mg Tablet helps normal blood clotting, which reduces the bleeding during menstruation. It helps to prevent excessive loss of blood, stops bleeding and enhances the healing process. This helps prevent complications of excessive bleeding such as hemorrhage. If heavy periods become such a problem that they interfere with your everyday life, then try taking things a little easier on those days. Some women find that relaxation techniques or yoga help them feel more relaxed and reduce stress. Getting a lot of exercise can also help."
Isimox 0.5% Eye Drop,"Treatment of Bacterial eye infectionsIsimox 0.5% Eye Drop is an antibiotic medicine. It works by stopping the growth of the bacteria that is causing the infection. It helps relieve symptoms such as pain, redness, itching or soreness caused due to eye infections. The dose and duration of treatment will be decided by your doctor based on your condition. Make sure you complete the full course of treatment. This will ensure that the infection is completely cured and prevent it from returning."
Valepsy 500 Tablet,"Treatment of Epilepsy/SeizuresValepsy 500 Tablet belongs to a group of medicines called anticonvulsants (or anti-epileptics). It works by slowing down electrical signals in the brain which cause seizures (fits). This medicine can be used to control various types of seizuresmyoclonic, partial-onset, and primary generalized tonic-clonic (or grand mal). It can also help reduce symptoms such as confusion, uncontrollable jerking movements, loss of awareness, and fear or anxiety. The medicine can allow you to do some activities that you would otherwise be forbidden or scared to do (such as swimming and driving). It can take a few weeks for this medicine to work (because the dose has to be increased slowly) and during this time you may still have seizures. You should continue taking it even if you feel well and are not having any seizures. Missing doses may trigger a seizure. Do not stop using this medicine until your doctor advises you."
Zolit-DSR 30mg/40mg Capsule,"Treatment of Gastroesophageal reflux disease (Acid reflux)Gastroesophageal reflux disease (GERD) is a chronic (long-term) condition in which there is an excess production of acid in the stomach. Zolit-DSR 30mg/40mg Capsule reduces the amount of acid your stomach makes and relieves the pain associated with heartburn and acid reflux. You should take it exactly as it is prescribed for it to be effective. Some simple lifestyle changes can help reduce the symptoms of GERD. Think about what foods trigger heartburn and try to avoid them; eat smaller, more frequent meals; try to lose weight if you are overweight, and try to find ways to relax. Do not eat within 3-4 hours of going to bed.Treatment of Peptic ulcer diseasePeptic ulcer disease is a condition in which painful sores or ulcers develop in the inner lining of the stomach or gut (intestine). Zolit-DSR 30mg/40mg Capsule reduces the amount of acid your stomach makes which prevents further damage to the ulcer as it heals naturally. You may be given other medicines along with this medicine depending on what caused the ulcer. You need to keep taking the medicine as it is prescribed for it to be effective, even if the symptoms seem to disappear."
Arotex 10mg Syrup,"Treatment of AnxietyArotex 10mg Syrup reduces the symptoms of excessive anxiety and worry that are triggered only at the time of stressful conditions that last for a shorter duration. These could be job interviews, exams, stage performances, etc. It can effectively manage feelings of restlessness, tiredness, difficulty concentrating and feeling irritable. Arotex 10mg Syrup will therefore help you go about your daily activities more easily and be more productive. Keep taking this medicine even if you feel well. Stopping suddenly can cause serious problems.Treatment of Skin conditions with inflammation & itchingArotex 10mg Syrup is effective in treating skin conditions with inflammation and itching such as eczema, dermatitis and psoriasis. It works by reducing the actions of chemicals in the body that cause inflammation of the skin. When used correctly it is a safe and effective treatment. It reduces the redness, rash, pain or itchiness caused by your skins reaction to an irritant. It thus improves your self-esteem and confidence as your appearance changes."
U Clav 875mg/125mg Tablet,"Treatment of Bacterial infectionsU Clav 875mg/125mg Tablet contains two different medicines, Amoxycillin and Clavulanic Acid, that work together to kill the bacteria that cause infections. Amoxycillin works by stopping the growth of bacteria. Clavulanic Acid reduces resistance and enhances the activity of Amoxycillin against bacteria.U Clav 875mg/125mg Tablet can be used to treat many different bacterial infections such as ear, sinus, throat, lung, urinary tract, skin, teeth, joints, and bones. It usually makes you feel better within a few days, but you should continue taking it as prescribed even when you feel better to make sure that all bacteria are killed and do not become resistant."
Volicure Trio 2mg/500mg/0.2mg Tablet SR,"Treatment of Type 2 diabetes mellitusVolicure Trio 2mg/500mg/0.2mg Tablet SR is a medicine that helps to control high blood glucose (sugar) levels. It helps to slow down the breaking down of food in our intestine to simple glucose (sugar), thereby decreasing the rise in blood glucose levels after meals. It also helps get rid of extra glucose from your body through urine. Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level, you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems and loss of limbs. Volicure Trio 2mg/500mg/0.2mg Tablet SR will reduce the risk of dying from cardiovascular disease if you have type 2 diabetes and already have cardiovascular disease. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life. You should keep using it for as long as it is prescribed because it is protecting your future health."
Floatin 60mg Tablet,"Treatment of DepressionFloatin 60mg Tablet works by increasing the level of a chemical called serotonin in the brain. This improves your mood, relieves anxiety, tension, and helps you sleep better. It has fewer side effects than older antidepressants. It usually takes 4-6 weeks for this medicine to work so you need to keep taking it even if you feel it is not working. Do not stop taking it, even if you feel better unless your doctor advises you to.Treatment of Panic disorderFloatin 60mg Tablet can help relieve symptoms of many panic disorders including panic attacks. It can help you feel calmer and improve your ability to deal with problems. Do not stop taking it, even when you feel better, unless your doctor advises you to.Treatment of Obsessive-compulsive disorderFloatin 60mg Tablet helps relieve symptoms of many anxiety disorders such as obsessive-compulsive disorder by increasing the level of a chemical called serotonin in your brain. It has fewer side effects than older antidepressants and is normally taken once a day. It helps you feel calm with a better ability to deal with problems. Keep taking the medicine until your doctor advises you to stop. Additionally, exercising and eating a healthy diet can also help improve your mood."
Glimicut M 2mg/500mg Tablet,"Treatment of Type 2 diabetes mellitusGlimicut M 2mg/500mg Tablet is a combination medicine that increases the amount of insulin your body produces (in the pancreas). The insulin then works to lower your blood glucose level. It is usually taken once a day. You should keep taking it for as long as it is prescribed.Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life."
Amoxi 500 Capsule,"Treatment of Bacterial infectionsAmoxi 500 Capsule is a versatile antibiotic medicine which can be used to treat many different infections caused by bacteria. These include infections of the blood, brain, lungs, bones, joints, urinary tract, stomach and intestines. It can also be used to treat gum ulcers and other dental infections (abscesses), leg ulcers and pressure sores. It works by stopping the growth of the bacteria causing the infection.This medicine usually makes you feel better quite quickly. However, you should continue taking it as long as it is prescribed even when you feel better, to make sure that all bacteria are killed and do not become resistant. This medicine is generally safe to use while pregnant or breastfeeding, but you should ask your doctor."
Joveran-MR Tablet,"Treatment of Pain due to muscle spasmJoveran-MR Tablet is a combination medicine that is used to relieve pain, inflammation, and swelling in conditions that affect muscles. Also, it effectively relieves muscle stiffness or spasm, thereby improving muscle movement. It works by blocking chemical messengers in the brain that tell us we have pain.Take it as it is prescribed to get the most benefit. Do not take more or longer than needed as that can be dangerous. In general, you should take the lowest dose that works, for the shortest possible time. This will help you to go about your daily activities more easily and have a better, more active, quality of life."
Onslim Capsule,"ObesityOnslim Capsule decreases cravings for food now and then. This helps reduce food intake and enables you to cut down on those extra calories that are responsible for gaining weight due to overeating. Therefore, this medicine helps to treat obesity and prevents the complications of being overweight like diabetes, high blood pressure, and other serious problems. It also improves your confidence by helping you lose weight and enhances your quality of life."
Bric 200mg Tablet DT,"Treatment of Bacterial infectionsBric 200mg Tablet DT kills the infection-causing bacteria in your body. This medicine is used to treat many different types of infections such as those of the brain (meningitis), lungs (pneumonia), ear, abdomen, urinary tract, bones and joints, skin, blood, and heart. This medicine usually makes you feel better within a few days, but you should continue taking it as prescribed even when you feel better. Stopping it early may make the infection come back and harder to treat."
Zithrocin 250 Tablet,"Treatment of Bacterial infectionsZithrocin 250 Tablet is an antibiotic medicine that can be used to treat many different infections caused by bacteria. These include infections of the blood, brain, lungs, bones, joints, urinary tract, stomach, and intestines. It can also be used to treat sexually transmitted diseases. It stops the growth of the bacteria causing the infection and clears the infection. Take it for as long as prescribed by the doctor and avoid skipping doses. This will make sure that all bacteria are killed and they do not become resistant."
